e, f, group, score, freq, n, avgDeadEnemies, avgAliveFriends, avgAlive
0,  0, dumb, 0, 1955, 11, 0.000000, 0.000000, 0.000000
0,  0, dumb, 1, 45, 11, 0.000000, 0.000000, 1.000000
0,  0, silent, 0, 0, 11, 0.000000, 0.000000, 0.000000
0,  0, silent, 1, 2000, 11, 0.000000, 0.000000, 1.000000
0,  0, g1, 0, 116, 11, 0.000000, 0.000000, 0.000000
0,  0, g1, 1, 1884, 11, 0.000000, 0.000000, 1.000000
0,  0, g2, 0, 35, 11, 0.000000, 0.000000, 0.000000
0,  0, g2, 1, 1965, 11, 0.000000, 0.000000, 1.000000
0,  0, g3, 0, 13, 11, 0.000000, 0.000000, 0.000000
0,  0, g3, 1, 1987, 11, 0.000000, 0.000000, 1.000000
0,  0, g4, 0, 0, 11, 0.000000, 0.000000, 0.000000
0,  0, g4, 1, 2000, 11, 0.000000, 0.000000, 1.000000
0,  0, g5, 0, 14, 11, 0.000000, 0.000000, 0.000000
0,  0, g5, 1, 1986, 11, 0.000000, 0.000000, 0.997338
0,  0, g6, 0, 16, 11, 0.000000, 0.000000, 0.000000
0,  0, g6, 1, 1984, 11, 0.000000, 0.000000, 1.000000
0,  0, g7, 0, 20, 11, 0.000000, 0.000000, 0.000000
0,  0, g7, 1, 1980, 11, 0.000000, 0.000000, 1.000000
0,  0, g8, 0, 162, 11, 0.000000, 0.000000, 0.000000
0,  0, g8, 1, 1838, 11, 0.000000, 0.000000, 1.000000
0,  0, g9, 0, 3, 11, 0.000000, 0.000000, 0.000000
0,  0, g9, 1, 1997, 11, 0.000000, 0.000000, 1.000000
1,  0, dumb, 0, 1749, 11, 0.000000, 0.000000, 0.000000
1,  0, dumb, 1, 237, 11, 0.033748, 0.000000, 0.966252
1,  0, dumb, 2, 14, 11, 0.725404, 0.000000, 0.725404
1,  0, silent, 0, 41, 11, 0.000000, 0.000000, 0.000000
1,  0, silent, 1, 1546, 11, 0.055509, 0.000000, 0.937545
1,  0, silent, 2, 413, 11, 1.000000, 0.000000, 1.000000
1,  0, g1, 0, 255, 11, 0.000000, 0.000000, 0.000000
1,  0, g1, 1, 1391, 11, 0.037543, 0.000000, 0.962457
1,  0, g1, 2, 354, 11, 0.836851, 0.000000, 0.836851
1,  0, g2, 0, 156, 11, 0.000000, 0.000000, 0.000000
1,  0, g2, 1, 1370, 11, 0.041892, 0.000000, 0.958108
1,  0, g2, 2, 474, 11, 0.709377, 0.000000, 0.709377
1,  0, g3, 0, 233, 11, 0.000000, 0.000000, 0.000000
1,  0, g3, 1, 1244, 11, 0.045636, 0.000000, 0.950372
1,  0, g3, 2, 523, 11, 0.661029, 0.000000, 0.661029
1,  0, g4, 0, 38, 11, 0.000000, 0.000000, 0.000000
1,  0, g4, 1, 1593, 11, 0.054373, 0.000000, 0.936741
1,  0, g4, 2, 369, 11, 0.799784, 0.000000, 0.799784
1,  0, g5, 0, 214, 11, 0.000000, 0.000000, 0.000000
1,  0, g5, 1, 1193, 11, 0.050569, 0.000000, 0.949431
1,  0, g5, 2, 593, 11, 0.736459, 0.000000, 0.736459
1,  0, g6, 0, 47, 11, 0.000000, 0.000000, 0.000000
1,  0, g6, 1, 1620, 11, 0.030557, 0.000000, 0.969443
1,  0, g6, 2, 333, 11, 0.868554, 0.000000, 0.868554
1,  0, g7, 0, 158, 11, 0.000000, 0.000000, 0.000000
1,  0, g7, 1, 1349, 11, 0.032149, 0.000000, 0.955414
1,  0, g7, 2, 493, 11, 1.000000, 0.000000, 1.000000
1,  0, g8, 0, 309, 11, 0.000000, 0.000000, 0.000000
1,  0, g8, 1, 1313, 11, 0.041541, 0.000000, 0.958459
1,  0, g8, 2, 378, 11, 0.913881, 0.000000, 0.913881
1,  0, g9, 0, 114, 11, 0.000000, 0.000000, 0.000000
