e, f, n, group, avg. score, avg alive friends, avg dead enemies, average alive
0, 0, 11, dumb, 0.000000, 0.000000, 0.000000, 0.022500
0, 0, 11, silent, 1.000000, 0.000000, 0.000000, 1.000000
0, 0, 11, g1, 0.000000, 0.000000, 0.000000, 0.942000
0, 0, 11, g2, 0.000000, 0.000000, 0.000000, 0.982500
0, 0, 11, g3, 0.000000, 0.000000, 0.000000, 0.993500
0, 0, 11, g4, 1.000000, 0.000000, 0.000000, 1.000000
0, 0, 11, g5, 0.000000, 0.000000, 0.000000, 0.990356
0, 0, 11, g6, 0.000000, 0.000000, 0.000000, 0.992000
0, 0, 11, g7, 0.000000, 0.000000, 0.000000, 0.990000
0, 0, 11, g8, 0.000000, 0.000000, 0.000000, 0.919000
0, 0, 11, g9, 0.000000, 0.000000, 0.000000, 0.998500
1, 0, 11, dumb, 0.000000, 0.000000, 0.009077, 0.119579
1, 0, 11, silent, 1.000000, 0.000000, 0.249408, 0.931222
1, 0, 11, g1, 1.000000, 0.000000, 0.174234, 0.817512
1, 0, 11, g2, 1.000000, 0.000000, 0.196818, 0.824427
1, 0, 11, g3, 1.000000, 0.000000, 0.201245, 0.763991
1, 0, 11, g4, 1.000000, 0.000000, 0.190868, 0.893675
1, 0, 11, g5, 1.000000, 0.000000, 0.248525, 0.784695
1, 0, 11, g6, 1.000000, 0.000000, 0.169366, 0.929863
1, 0, 11, g7, 1.000000, 0.000000, 0.268185, 0.890927
1, 0, 11, g8, 1.000000, 0.000000, 0.199995, 0.801952
1, 0, 11, g9, 1.000000, 0.000000, 0.273103, 0.869158
2, 0, 11, dumb, 0.000000, 0.000000, 0.066797, 0.226542
2, 0, 11, silent, 1.000000, 0.000000, 0.449561, 0.797280
2, 0, 11, g1, 1.000000, 0.000000, 0.405014, 0.743697
2, 0, 11, g2, 1.000000, 0.000000, 0.482766, 0.731256
2, 0, 11, g3, 1.000000, 0.000000, 0.419048, 0.679125
2, 0, 11, g4, 1.000000, 0.000000, 0.475881, 0.787929
2, 0, 11, g5, 1.000000, 0.000000, 0.446623, 0.701078
2, 0, 11, g6, 1.000000, 0.000000, 0.430035, 0.809730
